eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1000.0,453.6738508100001,511,0.014912189,0.2133789,8.227616,-0.0020439401,10.723771,0.048817217350006104,690,1413120,2778.8516138920004,1413120
1000.0,488.72685697000003,506,0.01040596,0.14733887,8.236548,-0.0007269115,9.085309,0.20611679553985596,700,1433600,2819.0169161169997,1433600
1000.0,450.99347937000005,507,0.014506006,0.21264648,8.250902,-0.0035720137,8.984669,0.12585902214050293,710,1454080,2858.896783868,1454080
1000.0,453.71931898,510,0.0089652715,0.123046875,8.255265,-0.0016126627,10.912979,-0.013632535934448242,720,1474560,2899.0421996120003,1474560
1000.0,440.80609072,515,0.005319984,0.0592041,8.278129,0.0007612059,15.648265,0.15559536218643188,730,1495040,2938.9244255390004,1495040
1000.0,441.83546912,504,0.014472381,0.21228027,8.275324,-0.0030947805,9.396631,0.23600351810455322,740,1515520,2978.9438793589998,1515520
1000.0,438.0257424599999,514,0.015172245,0.22705078,8.331427,0.0026704574,13.9995775,0.11995166540145874,750,1536000,3018.9373188110003,1536000
1000.0,482.0151638999999,509,0.008219842,0.119628906,8.370054,-0.00258927,10.563721,0.009023964405059814,760,1556480,3059.0826515730005,1556480
1000.0,483.37978387,510,0.009863825,0.13720703,8.384068,-0.0025294633,9.338891,0.23577362298965454,770,1576960,3098.9953065909995,1576960
1000.0,497.8139166099999,510,0.01471911,0.20800781,8.399312,-0.0019798095,10.552389,0.15362370014190674,780,1597440,3138.9559758899995,1597440
1000.0,497.16916847,512,0.013345507,0.20043945,8.372501,-0.0021480175,9.533433,0.053497910499572754,790,1617920,3179.060957857,1617920
1000.0,503.22321378,511,0.009439618,0.13684082,8.392643,-0.002810297,10.644981,0.3158092498779297,800,1638400,3218.9556996280007,1638400
1000.0,502.19945069999994,507,0.0143291205,0.20703125,8.415224,-0.0020869179,9.535427,0.13239699602127075,810,1658880,3259.0651155199994,1658880
