# {"t_start": 1587161644.6280663, "env_id": "HalfCheetahBulletEnv-v0"} 
r,l,t
564.917093,1000,4809.938543
564.175019,1000,4811.943805
571.977704,1000,4813.817436
546.610399,1000,4815.850127
513.808644,1000,4817.67544
297.783488,1000,4819.625062
567.591418,1000,4821.406934
563.33453,1000,4823.470006
582.177012,1000,4825.300092
559.776145,1000,4827.325567
564.522673,1000,4829.203455
580.0037,1000,4831.253303
568.771712,1000,4833.098147
564.977312,1000,4835.129546
581.330503,1000,4836.955642
597.191907,1000,4838.987396
592.426616,1000,4840.860864
596.594706,1000,4842.929141
580.883096,1000,4844.817091
572.056541,1000,4846.890754
550.09551,1000,4848.696004
569.021973,1000,4850.537288
591.012196,1000,4852.58233
548.534514,1000,4854.421607
527.697832,1000,4856.532223
577.963102,1000,4858.346405
580.612376,1000,4860.355448
573.658235,1000,4862.234677
579.03696,1000,4864.270891
580.179078,1000,4866.18089
546.552791,1000,4868.233596
576.812119,1000,4870.074117
569.559297,1000,4872.131169
583.5878,1000,4873.963131
580.511876,1000,4875.986521
590.804392,1000,4877.831963
592.416247,1000,4879.871102
572.618946,1000,4881.681007
581.229983,1000,4883.68539
583.262905,1000,4885.495159
599.939684,1000,4887.51787
560.984076,1000,4889.363145
546.199627,1000,4891.390383
596.078185,1000,4893.22445
567.641392,1000,4895.274016
577.995232,1000,4897.134652
576.635203,1000,4899.153858
577.550576,1000,4901.001224
578.428833,1000,4903.0215
595.030505,1000,4904.87423
582.390719,1000,4906.880237
581.323951,1000,4908.69361
558.034741,1000,4910.736334
571.732313,1000,4912.541618
579.936714,1000,4914.566197
595.875325,1000,4916.409237
567.226084,1000,4918.435339
590.587623,1000,4920.267767
596.249911,1000,4922.253165
583.232096,1000,4924.139257
581.650152,1000,4926.265118
582.253677,1000,4928.102876
584.451801,1000,4930.12894
563.067851,1000,4931.98812
576.789258,1000,4933.764049
615.050897,1000,4935.863353
574.770891,1000,4937.688088
586.273801,1000,4939.71301
573.112576,1000,4941.537363
585.323478,1000,4943.531242
612.228238,1000,4945.375906
597.799798,1000,4947.389876
595.586713,1000,4949.233608
566.715263,1000,4951.31137
581.195393,1000,4953.158386
580.754878,1000,4955.177737
577.598466,1000,4957.028686
584.963019,1000,4959.088873
594.039876,1000,4960.91254
579.208956,1000,4962.959242
610.157413,1000,4964.802901
592.912256,1000,4966.845702
594.383792,1000,4968.688747
578.043339,1000,4970.737384
571.280494,1000,4972.570828
556.270935,1000,4974.635965
545.76059,1000,4976.518902
588.281915,1000,4978.569984
592.985547,1000,4980.422359
568.877006,1000,4982.457405
588.34523,1000,4984.370623
595.893452,1000,4986.441596
571.165555,1000,4988.33691
589.444388,1000,4990.363245
586.360571,1000,4992.221814
568.512188,1000,4994.266547
608.059012,1000,4996.125449
